,Наименование работ,Дни мес.,01.11.2015,02.11.2015,03.11.2015,04.11.2015,05.11.2015,06.11.2015,07.11.2015,08.11.2015,09.11.2015,10.11.2015,11.11.2015,12.11.2015,13.11.2015,14.11.2015,15.11.2015,16.11.2015,17.11.2015,18.11.2015,19.11.2015,20.11.2015,21.11.2015,22.11.2015,23.11.2015,24.11.2015,25.11.2015,26.11.2015,27.11.2015,28.11.2015,29.11.2015,30.11.2015
,                Сборка и установка крана шарового подземного Ду 100 мм_act,факт,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,
4.6.2.4,               Установка КШ Ду50мм_act,план,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,
,               Установка КШ Ду50мм_act,факт,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,
4.6.2.5,"                Изоляция стыков с применением изоляционного комплекта "" ТИАЛ-М ""_act",план,,,,,,,,,,,,,,,,,,,,,,20,20,20,15,,,,,
,"                Изоляция стыков с применением изоляционного комплекта "" ТИАЛ-М ""_act",факт,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,
4.6.2.6,                Монтаж огневого предохранителя Ду 100мм_act,план,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,                Монтаж огневого предохранителя Ду 100мм_act,факт,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
4.6.2.7,                Монтаж опор_act,план,,,,,,,,,,,,,,,0.002,0.002,0.002,0.002,0.002,,,,,,,,,,,
,                Монтаж опор_act,факт,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
4.6.2.8,                Укладка в траншею изолированных трубопроводов_act,план,,,,,,,,,,,,,,,0.11,0.1,0.1,0.1,,,,,,,,,,,,
,                Укладка в траншею изолированных трубопроводов_act,факт,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
4.6.2.9,                Засыпка траншей и котлованов с перемещением грунта_act,план,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,160,,
